R,C1,C2,P1,P2
0.836133063,0.247417002,0.998739691,0.013296348,0.0979317
0.601442484,0.428461423,1.268050658,0.015228877,0.139589808
0.228950464,0.579170488,1.291767947,0.020818857,0.205368369
0.039793988,0.412977699,0.741635776,0.028457501,0.286335193
0.10223642,0.241110311,0.314215172,0.031875221,0.332264353
0.801166688,0.281177161,0.205153379,0.032502802,0.325386239
0.983625009,0.518833831,0.191584692,0.039360687,0.305540992
0.831838001,0.944706486,0.181306739,0.060752298,0.283738188
0.497473147,1.513546771,0.160535816,0.114355554,0.259438203
0.062064235,1.399882452,0.097331784,0.233796411,0.226404359
0.029251177,0.538553089,0.036421287,0.396527721,0.178390189
0.469322506,0.184449757,0.019718522,0.440337333,0.1319877
1.135967196,0.126862647,0.022887286,0.385762618,0.096837418
1.159028395,0.106559266,0.030249669,0.315467707,0.071779291
1.158037581,0.105605365,0.041787271,0.252365753,0.054105092
1.149890705,0.121933536,0.05945447,0.20523434,0.041805714
1.133304696,0.158186632,0.086204441,0.175939402,0.03346218
1.104699727,0.221168971,0.126260805,0.1648234,0.028108068
1.058154002,0.319647262,0.185257198,0.174245118,0.025137284
0.985976442,0.45666317,0.269725577,0.21162054,0.024253928
0.883048559,0.608863062,0.384872143,0.29274751,0.025459029
0.762927663,0.692166041,0.530024034,0.441497594,0.029068191
0.690305262,0.571949728,0.700287053,0.662303456,0.035788855
0.740650473,0.263118785,0.91812715,0.829025708,0.047091651
0.77396863,0.066186261,1.230460889,0.715574189,0.066137701
0.652194072,0.019818559,1.608202099,0.48414802,0.098601551
0.409162753,0.009234295,1.877292868,0.30617842,0.153167958
0.15290433,0.004835092,1.63668444,0.189725792,0.239134415
0.123460427,0.002382801,0.99011292,0.116308387,0.350096092
0.604100019,0.002021261,0.685698505,0.070987331,0.459701705
1.006069779,0.003206508,0.62519086,0.043391432,0.575816246
1.05152124,0.005803223,0.516880526,0.026677592,0.698758885
1.09607109,0.011094038,0.348581921,0.016596324,0.788812285
1.139372269,0.022044397,0.185281655,0.010572089,0.786847814
1.162472158,0.044895093,0.087141081,0.007058465,0.682844821
1.162577545,0.092540882,0.045074611,0.005151789,0.5387478
1.140566036,0.19120148,0.028715175,0.004387413,0.406113936
1.084805724,0.392098822,0.022449888,0.004698814,0.300365562
0.959675309,0.784301742,0.020478342,0.006613965,0.220578544
0.672511926,1.455414881,0.020111375,0.01194378,0.161694014
0.102011752,1.867686057,0.016264314,0.025162173,0.118238445
0.003609315,0.969193771,0.006951284,0.049383903,0.085183304
0.00840597,0.430168172,0.00289868,0.073827535,0.060579712
0.185943339,0.224167708,0.001516618,0.081349404,0.042861475
1.039598425,0.303650668,0.001779131,0.083602065,0.030296135
1.043236444,0.526758141,0.002571629,0.103267843,0.021439638
0.916116856,0.884376926,0.003697717,0.157881504,0.015201401
0.692756207,1.328736175,0.005085271,0.287229841,0.010805818
0.390603214,1.489630029,0.006155607,0.573461482,0.007701363
0.369956676,0.860417614,0.006270393,1.078101961,0.005494661
1.046484663,0.155231766,0.008216607,1.367869287,0.003926122
1.189918333,0.010497367,0.012663654,0.958759178,0.002823362
1.194787714,0.001981833,0.019737765,0.590041242,0.002052688
1.192863053,0.000947708,0.030805939,0.359301126,0.001517525
1.18909078,0.000809989,0.04809761,0.218462283,0.001150281
1.183016374,0.000985794,0.075069924,0.13284206,0.000904326
1.173402485,0.001485396,0.117035148,0.080862551,0.000748527
1.158200965,0.002542987,0.182053434,0.049339414,0.000663948
1.134094814,0.00468906,0.282090953,0.030252249,0.000642527
1.095660767,0.008995918,0.434212896,0.018730454,0.000687963
1.033845475,0.017515148,0.660802325,0.011819623,0.000819602
0.932998644,0.033828025,0.985286149,0.007729919,0.001080838
0.764528561,0.06278402,1.411160144,0.005377457,0.001554002
0.475204604,0.103942935,1.835320775,0.004092185,0.002379883
0.098269934,0.115111217,1.725091858,0.00335452,0.003732917
0.021149137,0.067162478,0.968518593,0.002603619,0.00548537
0.07983314,0.038506323,0.534015318,0.001828012,0.007002108
0.729819754,0.044159909,0.510749765,0.00124098,0.008146476
0.97591457,0.085577583,0.742186796,0.000897632,0.010034059
0.848368808,0.165829343,1.077399585,0.000743372,0.013560887
0.600400245,0.295596373,1.460938471,0.000740693,0.019771171
0.188030166,0.398573734,1.580066878,0.00087611,0.030087678
0.019162534,0.260556021,0.948734687,0.001015572,0.043929223
0.034555101,0.138275351,0.47154445,0.000957317,0.055263782
0.427160406,0.114880046,0.327554977,0.000785784,0.059957263
1.000580628,0.209832946,0.425209938,0.000692821,0.064872246
0.913649108,0.41445499,0.588698505,0.000762744,0.075982938
0.680217618,0.766662187,0.771381356,0.001083137,0.096046612
0.228811055,1.113512379,0.823256894,0.001879276,0.127255645
0.013470563,0.736041259,0.448135983,0.003266104,0.15866311
0.0185273,0.371103083,0.181580699,0.004484115,0.162207269
0.262707139,0.253610692,0.090668412,0.004884896,0.139779957
0.991788963,0.424324426,0.095457945,0.005495343,0.11490215
0.908705985,0.832550765,0.1190329,0.007947804,0.096779984
0.581098848,1.492357757,0.142576,0.014581055,0.084250771
0.050292091,1.630616427,0.117604367,0.030418488,0.073994866
0.003988048,0.796437615,0.052482231,0.056305464,0.060082288
0.017035501,0.352786926,0.023223204,0.077821383,0.04528798
0.398339787,0.224337011,0.014774788,0.081638489,0.033022447
1.067850502,0.34966371,0.019690407,0.08705475,0.024044246
1.01112438,0.603679595,0.028696078,0.113669086,0.017744883
0.858876651,0.989686491,0.041047798,0.182420598,0.013351867
0.602474527,1.400836589,0.055040897,0.341876838,0.010284199
0.316020784,1.343974451,0.062377045,0.679856151,0.008076393
0.499660692,0.595024129,0.063737347,1.179072765,0.006366823
1.109614672,0.073674365,0.089618738,1.226725954,0.005116362
1.164693048,0.007052833,0.13806321,0.804942648,0.004339077
1.150787827,0.001945665,0.213337645,0.493826691,0.003965796
1.123814962,0.001168834,0.32852601,0.300836591,0.003973415
1.080639721,0.00113076,0.502321918,0.183072577,0.004414474
1.011878533,0.001447598,0.75824926,0.111459365,0.005450078
0.901325053,0.002155342,1.118023248,0.067967962,0.007414295
0.72029153,0.003379847,1.573510459,0.041573038,0.010924162
0.42071386,0.004927041,1.978691881,0.025544568,0.017013463
0.083537026,0.004797539,1.739252732,0.01574459,0.026877138
0.029570141,0.00272785,0.965167177,0.009661158,0.039470949
0.155029449,0.001731341,0.566768114,0.005897922,0.050590301
0.887462334,0.002450329,0.618175376,0.003598561,0.060989684
0.9706082,0.004798549,0.867265332,0.002206406,0.078505405
0.864381555,0.009271303,1.194516851,0.001367,0.109293043
0.700197869,0.016945213,1.554630365,0.000862701,0.161965973
0.471404002,0.027598981,1.804516286,0.000559837,0.249920968
0.238903282,0.035298558,1.644331338,0.00037393,0.388543566
0.220927719,0.035389383,1.089803544,0.000252131,0.574992651
0.713774195,0.048345642,0.730626966,0.000171955,0.773512619
1.01257088,0.093141702,0.477882212,0.000126098,0.949523216
1.074712179,0.188918443,0.216327374,0.000107243,1.005727687
1.065788689,0.386507228,0.07132957,0.000114266,0.873383945
0.958070718,0.777203748,0.025492872,0.00016007,0.667410368
0.676589847,1.456032992,0.011774521,0.000288575,0.486608772
0.100652856,1.895049164,0.005471563,0.000609138,0.34871552
0.002978478,1.008734933,0.001566354,0.001204572,0.247275366
0.005204166,0.484364435,0.000491308,0.001853761,0.174554698
0.087704363,0.263351525,0.000193086,0.002168183,0.123068961
0.913501828,0.344055319,0.000167314,0.002322803,0.086743964
0.995181795,0.686348207,0.000216471,0.003097265,0.061143503
0.756270122,1.311458227,0.000282732,0.005358509,0.043103594
0.208232863,1.948096037,0.000311655,0.011115648,0.030389801
0.004333368,1.153685027,0.000169178,0.022735157,0.021423352
0.004282885,0.534794749,7.82E-05,0.036622382,0.015098545
0.06275805,0.261028957,3.93E-05,0.043777396,0.010639662
0.866298256,0.283997005,3.83E-05,0.045064879,0.00749727
1.043878352,0.523205253,5.69E-05,0.054783835,0.005283092
0.899097053,0.950594656,8.40E-05,0.084781047,0.003723004
0.593110179,1.545744618,0.000115472,0.160129224,0.002623767
0.117170008,1.613872247,0.000117498,0.333848477,0.00184917
0.03982015,0.601564336,6.82E-05,0.597941321,0.001303173
0.609584829,0.144925249,5.42E-05,0.655845674,0.000918323
1.169637228,0.058861692,8.08E-05,0.509710511,0.000647139
1.188301052,0.035263527,0.000126071,0.352242382,0.000456069
1.190510379,0.031119968,0.000197119,0.235332145,0.000321451
1.189340429,0.03673642,0.0003083,0.157653077,0.000226609
1.185160014,0.052659596,0.000482014,0.108701757,0.000159795
1.176308506,0.085329988,0.000752728,0.079639242,0.000112731
1.158816885,0.148703215,0.001172492,0.06487143,7.96E-05
1.12463495,0.268831686,0.001816805,0.062222326,5.62E-05
1.057951012,0.489028484,0.002784781,0.074011814,3.98E-05
0.928242609,0.863567825,0.004168627,0.110957299,2.82E-05
0.679660656,1.38437504,0.00588816,0.202298738,2.01E-05
0.27224953,1.633281951,0.006926573,0.41273327,1.44E-05
0.101264582,0.799354663,0.005255621,0.782961307,1.02E-05
0.784436483,0.174926943,0.005044392,0.958702975,7.29E-06
1.178682383,0.033763659,0.0076727,0.728329785,5.20E-06
1.193074592,0.011508271,0.012003647,0.468910548,3.73E-06
1.193449916,0.007499503,0.018797297,0.292458411,2.71E-06
1.191243423,0.007607306,0.029429647,0.181496386,2.00E-06
1.186907975,0.010190341,0.046045945,0.11310331,1.51E-06
1.179500454,0.016190086,0.071959763,0.071382493,1.18E-06
1.167018531,0.02850473,0.112232861,0.046252094,9.74E-07
1.145761542,0.053258637,0.174442943,0.031521557,8.57E-07
1.108850598,0.102571203,0.269481217,0.02353831,8.22E-07
1.043100398,0.19902583,0.411576717,0.020427957,8.70E-07
0.921981517,0.379412934,0.614288191,0.021911186,1.02E-06
0.688073667,0.677902287,0.868300102,0.029839702,1.31E-06
0.241991662,0.953030778,1.017927617,0.049189278,1.81E-06
0.014722389,0.596818927,0.642170709,0.080148033,2.42E-06
0.019473763,0.257931078,0.322256683,0.098617781,2.76E-06
0.284148525,0.144615449,0.209284878,0.091742175,2.72E-06
1.021435406,0.202743359,0.278810951,0.082624878,2.65E-06
0.989056768,0.342659965,0.419982587,0.087131625,2.82E-06
0.839577958,0.564541556,0.614832222,0.111961225,3.32E-06
0.57237634,0.83040866,0.834547395,0.172112159,4.26E-06
0.185379932,0.84019186,0.893521726,0.2896511,5.76E-06
0.059563126,0.356696113,0.595461298,0.416865006,7.46E-06
0.334853393,0.111973854,0.438693172,0.398101295,8.67E-06
0.97327221,0.074392945,0.586627464,0.306167675,1.01E-05
0.947882415,0.070299713,0.873147559,0.226610389,1.30E-05
0.811406218,0.077943461,1.264163717,0.168647775,1.82E-05
0.57792829,0.091350881,1.706685213,0.12891011,2.73E-05
0.216808866,0.091393552,1.879579232,0.100747867,4.28E-05
0.033259737,0.051669231,1.247346959,0.074896207,6.53E-05
0.051968461,0.024424472,0.68407232,0.050551918,8.86E-05
0.479950217,0.019721723,0.548799365,0.032627954,0.000107525
0.964928486,0.033448971,0.768988547,0.021374836,0.000133875
0.872406576,0.0618987,1.129234241,0.014838557,0.000182621
0.660939228,0.10893588,1.571582573,0.011314479,0.000269392
0.300153833,0.158919805,1.868328386,0.009656216,0.000418014
0.034570236,0.125016492,1.35079085,0.008487956,0.000643355
0.026419779,0.066207107,0.710289495,0.006606594,0.000887122
0.22869767,0.045195452,0.455861581,0.004659895,0.001061338
0.94857613,0.071911822,0.573508641,0.003308356,0.00123669
0.933093273,0.140950944,0.850148955,0.002630993,0.001574054
0.749478471,0.264439867,1.21485499,0.00250242,0.002191367
0.405209493,0.428675099,1.543138311,0.00291436,0.003257275
0.042807089,0.395688402,1.248764424,0.003753072,0.004897113
0.013955158,0.207442176,0.642539144,0.004102031,0.006625562
0.087340668,0.116837863,0.34936721,0.00361915,0.007612873
0.813490942,0.142812424,0.352120188,0.002984017,0.008017441
0.979714851,0.279488599,0.516637026,0.002860756,0.009007258
0.812639073,0.536778395,0.746290536,0.003497976,0.011145962
0.45809529,0.906707347,0.972261043,0.005421249,0.014937539
0.036070253,0.859008403,0.796553564,0.009415613,0.02042588
0.007592753,0.431363123,0.391837239,0.013801149,0.024647178
0.044105264,0.218702488,0.194053703,0.015341028,0.024891018
0.659419621,0.211274477,0.161050872,0.014585708,0.022535022
1.014946594,0.398810735,0.228734178,0.015879981,0.021013911
0.867351388,0.762217144,0.328912025,0.022313252,0.021238073
0.524229592,1.302823267,0.434451339,0.039427782,0.023242274
0.045545903,1.294755863,0.376106995,0.077983097,0.026227828
0.007521213,0.589405158,0.183812221,0.131663336,0.026337192
0.056272804,0.236911792,0.091330063,0.158341929,0.022864209
0.826328373,0.188326528,0.084051513,0.149577588,0.018557992
1.084431863,0.274017299,0.123167451,0.149169854,0.015521852
1.028480481,0.412550935,0.18305713,0.172275836,0.013837088
0.933277903,0.597596824,0.267765717,0.232377581,0.013325621
0.802325994,0.77442215,0.379291807,0.356146574,0.013954707
0.677874591,0.789483521,0.511437735,0.579157544,0.015835516
